priority	layer	gap	why_it_matters	next_action	blocking_for_model_edit
1	ecGEM/ME	Absolute protein abundance for CGA009/TX73 across acetate, succinate, butyrate, p-coumarate, benzoate/aromatics, light/dark, and nitrogen regimes is not bundled.	Without calibrated enzyme abundance, enzyme capacity constraints would be arbitrary.	Use CGA009 LFQ proteomics as relative priors only; request absolute/calibrated proteomics for hard ecGEM bounds.	yes_for_hard_enzyme_bounds
1	ecGEM/ME	Curated kcat table mapped to CGA009 genes/reactions is missing.	kcat is required for v <= kcat * E constraints and uncertainty analysis.	Build `candidate_v1.14/kcat_evidence.tsv` from BRENDA, SABIO-RK, ME-model supplements, and primary papers with confidence tiers.	yes_for_hard_enzyme_bounds
1	13C-MFA	Full flux ratios from McKinlay/Harwood paper and supplements are not yet extracted into machine-readable form.	Internal flux validation is required to move beyond growth/no-growth.	Download/read full paper and supplements; extract CBB, TCA/glyoxylate, acetyl-CoA, H2, CO2 flux ratios with conditions.	yes_for_MFA_acceptance
1	exchange physiology	Matched substrate uptake, H2, CO2, PHB, and growth-rate time series for current v1.13 medium are absent.	Exchange rates are needed to avoid invented uptake bounds.	Use literature values only as validation targets; request matched experiments for final constraints.	yes_for_quantitative_flux_bounds
2	TFA	CGA009 intracellular metabolite concentrations under matched conditions are missing.	TFA hard constraints need concentration ranges for ln(C).	Search R. palustris metabolomics; otherwise run TFA sensitivity with broad physiologic ranges and label as exploratory.	yes_for_hard_TFA_claims
2	TFA	Metabolite ID mapping from v1.13 ModelSEED IDs to eQuilibrator/KEGG/ChEBI is incomplete.	Gibbs energy estimates require reliable compound identity mapping.	Create `thermo_id_mapping.tsv`; prioritize central carbon/redox/CBB/TCA/PHB/aromatic modules.	no_for_mapping_work
2	validation	Current phenotype panel is smaller than BisA53-style >350 condition benchmark.	Reviewer-grade validation needs broad positives and negatives.	Expand growth/no-growth matrix with carbon, nitrogen, oxygen, and light modes; keep strain-specific CGA009 evidence separate.	no
1	ecGEM/electron	Reduced ferredoxin production rate under photoheterotrophic conditions is unconstrained.	Without Fd_red production limit, nitrogenase can produce unlimited H2 (10-22x over-prediction).	Need photosynthetic electron transport rate from ME model or measured Fd_red turnover; implement as Fd_red production cap.	yes_for_H2_yield_accuracy
2	ecGEM/electron	Electron partitioning between Calvin cycle and nitrogenase is not regulated.	Model cannot reproduce the substrate-dependent H2 yield differences observed by McKinlay/Harwood.	Implement ETFD constraint from Chowdhury 2022 or use 13C-derived electron balance fractions as soft constraints.	yes_for_quantitative_H2
2	TFA	eQuilibrator deltaG values for 10 priority central carbon reactions not yet queried.	TFA layer requires standard Gibbs energies for reaction directionality constraints.	Query eQuilibrator API or manual lookup for mapped KEGG reactions.	no_for_deltaG_lookup

1	model_architecture	No N2 exchange reaction exists; nitrogenase (rxn06874_c0) cannot function without N2 supply.	Cannot simulate NifA* H2 production via nitrogenase; all model H2 comes from hydrogenase (rxn05759) which is biologically incorrect for CGA009.	Add N2 exchange (EX_cpd00528_e0) OR add nitrogenase proton-reduction reaction for NifA* simulation under argon headspace.	yes_for_H2_validation
1	model_architecture	Hydrogenase (rxn05759_c0) is reversible and unconstrained; CGA009 has defective uptake hydrogenase.	Model uses hydrogenase for H2 production, but CGA009 cannot use this pathway. H2 production should be nitrogenase-only.	Block hydrogenase H2 production direction (set rxn05759 upper_bound=0 or lower_bound=0 depending on convention) for CGA009 simulations.	yes_for_H2_validation
